Scheme Name,Net Asset Value,
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,10.6518,
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.0906,
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.1988,
,,
,,
,,
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,10.2665,
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.2663,
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,10.2487,
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.2487,
,,
,,
,,
DSP Banking & PSU Debt Fund - Direct Plan - Growth,20.7286,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.5557,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.16,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.2494,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.2907,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1613,
DSP Banking & PSU Debt Fund - Regular Plan - Growth,20.1413,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.5294,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.16,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.2425,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.2847,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1612,
,,
,,
,,
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,21.2151,
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.1405,
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.5825,
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9617,
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.565,
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,20.6201,
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.5584,
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.2039,
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.2029,
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1611,
,,
,,
,,
Franklin India Banking & PSU Debt Fund - Direct - Growth,19.5994,
Franklin India Banking & PSU Debt Fund - Growth,18.9032,
Franklin India Banking and PSU Debt Fund - Direct - IDCW ,10.8397,
Franklin India Banking and PSU Debt Fund - IDCW ,10.331,
,,
,,
,,
HDFC Banking and PSU Debt Fund - Growth Option,19.3113,
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,19.9266,
HDFC Banking and PSU Debt Fund - IDCW Option,10.1493,
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0396,
,,
,,
,,
HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.19,
HSBC Banking and PSU Debt Fund - Direct Growth,21.428,
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.29,
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3545,
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.1152,
HSBC Banking and PSU Debt Fund - Regular Growth,20.5205,
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.7659,
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3272,
,,
,,
,,
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,
ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,28.3525,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.6926,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,
ICICI Prudential Banking and PSU Debt Fund - Growth,27.4124,
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.7562,
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,
ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,
,,
,,
,,
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),1010.2242,
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,2021.2661,
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),1031.8797,
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1014.7233,
Invesco India Banking & PSU Debt Fund - Growth Option,1902.467,
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),1033.84,
,,
,,
,,
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,11.2059,
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,11.2059,
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,11.0592,
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,11.0592,
,,
,,
,,
Kotak Banking and PSU Debt - Annual Dividend,16.1842,
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188,
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604,
Kotak Banking and PSU Debt - Growth,54.8656,
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,10.4408,
Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,
Kotak Banking and PSU Debt Direct - Growth,56.6428,
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.255,
,,
,,
,,
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,12.6308,
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,31.2166,
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,11.7566,
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,10.0573,
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,10.8239,
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,29.2855,
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,10.9604,
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,10.0549,
,,
,,
,,
Mirae Asset Banking and PSU Debt Fund Direct Growth,11.0687,
Mirae Asset Banking and PSU Debt Fund Direct IDCW,11.0685,
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,10.9394,
Mirae Asset Banking and PSU Debt Fund Regular IDCW,10.9403,
,,
,,
,,
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,17.9182,
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,17.9179,
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452,
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,17.4233,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,17.9179,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.6725,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.6282,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.2821,
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,17.4233,
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6071,
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.5822,
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2827,
,,
,,
,,
PGIM India Banking and PSU Debt fund - Bonus,13.3974,
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,10.434,
PGIM India Banking and PSU Debt fund - Monthly Dividend,10.7742,
PGIM India Banking and PSU Debt fund - Quarterly Bonus,11.6111,
PGIM India Banking and PSU Debt fund - Quarterly Dividend,10.6269,
PGIM India Banking and PSU Debt Fund - Regular Dividend,10.4253,
PGIM India Banking and PSU Debt fund - Weekly Dividend,10.2735,
PGIM India Banking and PSU Debt fund -Growth,20.5153,
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus,13.6246,
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus,15.2364,
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend,11.0995,
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend,10.9284,
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend,10.6851,
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend,10.2259,
PGIM India Banking and PSU Debt fund- Direct Plan-Growth,21.4871,
,,
,,
,,
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1216.024,
SBI BANKING & PSU FUND - Direct Plan - Growth,2760.7264,
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1179.8491,
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1213.3231,
SBI BANKING & PSU FUND - Regular Paln - Growth,2625.0163,
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1197.6054,
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1123.6156,
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1197.3544,
,,
,,
,,
Sundaram Banking & PSU Debt Fund - Direct Growth,11.7065,
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend,11.4008,
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend,10.6356,
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus,11.6319,
Sundaram Banking & PSU Debt Fund - Regular Growth,11.6493,
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend,11.1411,
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus,11.1681,
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend,10.1418,
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend,11.0236,
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus,18.2451,
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.2275,
Sundaram Banking and PSU Debt Fund Direct Plan - Growth,36.4706,
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5608,
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus,18.1861,
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.3524,
Sundaram Banking and PSU Debt Fund Regular Plan - Growth,36.0641,
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.6125,
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1345,
Sundaram Banking and PSU Debt Fund Retail Plan - Growth,32.5014,
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5171,
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment,11.6582,
,,
,,
,,
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option ,12.3148,
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.3148,
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,12.1034,
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.1034,
Tata Banking & PSU Debt Fund-Direct Plan-Growth,12.3148,
Tata Banking & PSU Debt Fund-Regular Plan-Growth,12.1034,
,,
,,
,,
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH,1083.8852,
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH,1072.4264,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1046.8779,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1086.9833,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1021.6252,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1037.5643,
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1014.6252,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1035.6032,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1074.4938,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1015.366,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1027.1409,
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1011.431,
,,
,,
,,
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW,12.6157,
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW,16.0713,
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option,18.6502,
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW,12.3759,
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,12.4958,
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW,13.8809,
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW,12.4848,
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW,12.3733,
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW,12.3216,
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12.3832,
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW,12.662,
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option,18.4511,
,,
,,
,,
,,
,,
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,95.1725,
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,93.9677,
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,10.8403,
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.3831,
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,12.2258,
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.247,
Aditya Birla Sun Life Income Fund-Plan A(Dividend),11.7535,
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend),10.6457,
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth),35.2986,
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend),15.5708,
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth),35.0763,
,,
,,
,,
Axis Corporate Debt Fund - Direct Plan - Daily IDCW,10.2348,
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW,10.2402,
Axis Corporate Debt Fund - Direct Plan - Regular IDCW,13.8403,
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW,10.3773,
Axis Corporate Debt Fund - Direct Plan Growth,14.8997,
Axis Corporate Debt Fund - Regular Plan - Daily IDCW,10.2346,
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW,10.234,
Axis Corporate Debt Fund - Regular Plan - Regular IDCW,13.2399,
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW,10.2584,
Axis Corporate Debt Fund - Regular Plan Growth,14.2778,
,,
,,
,,
BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.4549,
BANDHAN Corporate Bond Fund - Direct Growth,16.5403,
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.6515,
BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.3762,
BANDHAN Corporate Bond Fund - Direct Periodic IDCW,10.9735,
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.4663,
BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.4215,
BANDHAN Corporate Bond Fund - Regular Growth,16.1782,
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,11.0329,
BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.6291,
BANDHAN Corporate Bond Fund - Regular Periodic IDCW,10.9062,
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.507,
,,
,,
,,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,10.8742,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,26.4309,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.0692,
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.1623,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,11.038,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,24.0807,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.138,
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.3486,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,10.813,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,22.8385,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.1001,
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.2372,
,,
,,
,,
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,19.5807,
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.1573,
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,18.5441,
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.5125,
,,
,,
,,
DSP Corporate Bond Fund - Direct - Growth,13.5913,
DSP Corporate Bond Fund - Direct - IDCW,11.3573,
DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.4522,
DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,11.207,
DSP Corporate Bond Fund - Regular - Growth,13.4372,
DSP Corporate Bond Fund - Regular - IDCW,11.3108,
DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.4335,
DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,10.57,
,,
,,
,,
Franklin India Corporate Debt Fund - Direct - Bonus,0,
Franklin India Corporate Debt Fund - Direct - GROWTH,88.9885,
Franklin India Corporate Debt Fund - Growth,83.2111,
Franklin India Corporate Debt Fund - Monthly Bonus,0,
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,17.3456,
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,19.2314,
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.9471,
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,16.4954,
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.7022,
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,13.1294,
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,14.8427,
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.2838,
,,
,,
,,
HDFC Corporate Bond Fund - Growth Option,27.0486,
HDFC Corporate Bond Fund - Growth Option - Direct Plan,27.4828,
HDFC Corporate Bond Fund - IDCW Option,17.5227,
HDFC Corporate Bond Fund - IDCW Option - Direct Plan,17.9861,
HDFC Corporate Bond Fund - Quarterly IDCW Option,10.3894,
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.2332,
,,
,,
,,
HSBC Corporate Bond Fund - Direct Annual IDCW,12.1839,
HSBC Corporate Bond Fund - Direct Growth,64.654,
HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.4517,
HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.2387,
HSBC Corporate Bond Fund - Regular Annual IDCW,12.0191,
HSBC Corporate Bond Fund - Regular Growth,61.1691,
HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.1054,
HSBC Corporate Bond Fund - Regular Semi Annual IDCW,17.1456,
HSBC Corporate Bond Fund -Regular Plan - Bonus,23.2354,
,,
,,
,,
ICICI Prudential Corporate Bond Fund - Bonus,14.9782,
ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065,
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1008,
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1669,
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,25.9184,
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.8827,
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2589,
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.1074,
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2332,
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2243,
ICICI Prudential Corporate Bond Fund - Growth,24.8693,
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.6555,
ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.4131,
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,10.0277,
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,10.077,
ICICI Prudential Corporate Bond Fund - Weekly IDCW,10.304,
ICICI Prudential Corporate Bond Fund -Quarterly IDCW,10.9274,
ICICI Prudential Corporate Bond Fund Retail Daily Dividend,10.0275,
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,10.3041,
ICICI Prudential Corporate Bond Fund Retail Growth,22.7853,
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,10.3008,
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,10.9335,
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,10.2202,
,,
,,
,,
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1644.5601,
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1215.7411,
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),2829.821,
Invesco India Corporate Bond Fund - Direct Plan - Growth,2828.9242,
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1260.864,
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),1146.7092,
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment),2795.0653,
Invesco India Corporate Bond Fund - Growth,2662.8424,
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment),1526.2532,
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment),1145.4722,
,,
,,
,,
Kotak Coporate Bond Fund- Retail Plan-Growth Option,2034.9063,
Kotak Corporate Bond Fund- Direct Plan- Growth Option,3261.5572,
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option,1072.5103,
Kotak Corporate Bond Fund- Institutional Plan-Growth Option,2090.4924,
Kotak Corporate Bond Fund- Regular Plan-Growth Option,3147.6442,
